folder,filename,gradient,date,experiment,replicate,well,type,multiplier,condition,run_id,notes
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_B3_empty_Slot1-1_1_3417.d,30,230907,auto,2,B3,cell,0,,3417,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_C3_100cell_Slot1-1_1_3400.d,30,230907,auto,2,C3,cell,100,,3400,5 min shift in RT due to gradient testing
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_E2_1cell_Slot1-1_1_3420.d,30,230907,auto,2,E2,cell,1,,3420,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_E3_1cell_Slot1-1_1_3418.d,30,230907,auto,2,E3,cell,1,,3418,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_F2_1cell_Slot1-1_1_3421.d,30,230907,auto,2,F2,cell,1,,3421,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_F3_1cell_Slot1-1_1_3419.d,30,230907,auto,2,F3,cell,1,,3419,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_G3_2cell_Slot1-1_1_3422.d,30,230907,auto,2,G3,cell,2,,3422,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_H3_2cell_Slot1-1_1_3423.d,30,230907,auto,2,H3,cell,2,,3423,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_I3_2cell_Slot1-1_1_3424.d,30,230907,auto,2,I3,cell,2,,3424,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_J3_4cell_Slot1-1_1_3425.d,30,230907,auto,2,J3,cell,4,,3425,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_K3_4cell_Slot1-1_1_3426.d,30,230907,auto,2,K3,cell,4,,3426,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_L3_4cell_Slot1-1_1_3427.d,30,230907,auto,2,L3,cell,4,,3427,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_M3_8cell_Slot1-1_1_3428.d,30,230907,auto,2,M3,cell,8,,3428,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_N3_8cell_Slot1-1_1_3429.d,30,230907,auto,2,N3,cell,8,,3429,
auto_2_cells,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_O3_8cell_Slot1-1_1_3430.d,30,230907,auto,2,O3,cell,8,,3430,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_B5_histStand_empty_Slot1-1_1_3403.d,30,230907,auto,2,B5,standard,0,,3403,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_D5_histStand_1_Slot1-1_1_3404.d,30,230907,auto,2,D5,standard,1,,3404,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_E5_histStand_1_Slot1-1_1_3405.d,30,230907,auto,2,E5,standard,1,,3405,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_F5_histStand_1_Slot1-1_1_3406.d,30,230907,auto,2,F5,standard,1,,3406,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_G5_histStand_2_Slot1-1_1_3407.d,30,230907,auto,2,G5,standard,2,,3407,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_H5_histStand_2_Slot1-1_1_3408.d,30,230907,auto,2,H5,standard,2,,3408,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_I5_histStand_2_Slot1-1_1_3409.d,30,230907,auto,2,I5,standard,2,,3409,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_J5_histStand_4_Slot1-1_1_3410.d,30,230907,auto,2,J5,standard,4,,3410,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_K5_histStand_4_Slot1-1_1_3411.d,30,230907,auto,2,K5,standard,4,,3411,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_L5_histStand_4_Slot1-1_1_3412.d,30,230907,auto,2,L5,standard,4,,3412,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_M5_histStand_8_Slot1-1_1_3413.d,30,230907,auto,2,M5,standard,8,,3413,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_N5_histStand_8_Slot1-1_1_3414.d,30,230907,auto,2,N5,standard,8,,3414,
auto_2_hist,BM20231010_Ultra_IO25_200nl_30min_230907_auto_2_O5_histStand_8_Slot1-1_1_3415.d,30,230907,auto,2,O5,standard,8,,3415,
auto_2_redo,BM20231023_Ultra_IO25_200nl_30min_230907_auto_2_M2_8cell_Slot1-1_1_3635.d,30,230907,auto,2,M2,cell,8,,3635,
auto_2_redo,BM20231023_Ultra_IO25_200nl_30min_230907_auto_2_N2_8cell_Slot1-1_1_3636.d,30,230907,auto,2,N2,cell,8,,3636,
auto_4_5cm_cells,BM20231010_Ultra_IO25_200nl_15min_230910_auto_4_C2_100_Slot1-1_1_3777.d,15,230910,auto,4,C2,cell,100,,3777,
auto_4_5cm_cells,BM20231010_Ultra_IO25_200nl_15min_230910_auto_4_C3_100_Slot1-1_1_3778.d,15,230910,auto,4,C3,cell,100,,3778,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_B4_empty_Slot1-1_1_3491.d,30,230910,auto,4,B4,cell,0,,3491,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_C4_100cell_Slot1-1_1_3505.d,30,230910,auto,4,C4,cell,100,,3505,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_D3_1cell_Slot1-1_1_3495.d,30,230910,auto,4,D3,cell,1,,3495,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_D4_1cell_Slot1-1_1_3492.d,30,230910,auto,4,D4,cell,1,,3492,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_E4_1cell_Slot1-1_1_3493.d,30,230910,auto,4,E4,cell,1,,3493,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_F4_1cell_Slot1-1_1_3494.d,30,230910,auto,4,F4,cell,1,,3494,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_G4_2cell_Slot1-1_1_3496.d,30,230910,auto,4,G4,cell,2,,3496,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_H4_2cell_Slot1-1_1_3497.d,30,230910,auto,4,H4,cell,2,,3497,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_I4_2cell_Slot1-1_1_3498.d,30,230910,auto,4,I4,cell,2,,3498,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_J4_4cell_Slot1-1_1_3499.d,30,230910,auto,4,J4,cell,4,,3499,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_K4_4cell_Slot1-1_1_3500.d,30,230910,auto,4,K4,cell,4,,3500,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_L4_4cell_Slot1-1_1_3501.d,30,230910,auto,4,L4,cell,4,,3501,
auto_4_cells,BM20231010_Ultra_IO25_200nl_30min_230910_auto_4_M4_8cell_Slot1-1_1_3502.d,30,230910,auto,4,M4,cell,8,,3502,
